C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
AT5G27093					
AT5G27110					
AT5G27120					
AT5G27210					
AT5G27230					
AT5G27395					
AT5G27470					
AT5G27540					
AT5G27620					
AT5G27640					
AT5G27850					
AT5G27990					
AT5G28030					
AT5G28220					
AT5G28460					
AT5G28540					
AT5G28740					
AT5G28920					
AT5G33320					
AT5G35400					
AT5G35430					
AT5G35510					
AT5G35620					
AT5G35680					
AT5G35700					
AT5G35910					
AT5G35930					
AT5G36150					
AT5G36880					
AT5G36890					
AT5G36960					
AT5G37247					
AT5G37350					
AT5G37400					
AT5G37530					
AT5G37570					
AT5G37600					
AT5G37740					
AT5G37820					
AT5G37890					
AT5G38000					
AT5G38020					
AT5G38030					
AT5G38060					
AT5G38100					
AT5G38460					
AT5G38640					
AT5G38660					
AT5G38720					
AT5G38730					
AT5G38840					
AT5G38890					
AT5G38900					
AT5G39080					
AT5G39090					
AT5G39340					
AT5G39680					
AT5G39710					
AT5G39740					
AT5G39760					
AT5G39840					
AT5G39850					
AT5G39900					
AT5G39940					
AT5G39960					
AT5G39990					
AT5G40040					
AT5G40200					
AT5G40370					
AT5G40400					
AT5G40405					
AT5G40410					
AT5G40490					
AT5G40510					
AT5G40530					
AT5G40590					
AT5G40650					
AT5G40770					
AT5G40780					
AT5G40930					
AT5G41010					
AT5G41020					
AT5G41050					
AT5G41190					
AT5G41670					
AT5G41680					
AT5G41770					
AT5G41970					
AT5G42060					
AT5G42130					
AT5G42150					
AT5G42450					
AT5G42480					
AT5G42600					
AT5G43010					
AT5G43060					
AT5G43070					
AT5G43285					
AT5G43330					
AT5G43350					
AT5G43400					
AT5G43510					
AT5G43580					
AT5G43590					
AT5G43640					
AT5G43720					
AT5G43790					
AT5G43960					
AT5G43970					
AT5G43980					
AT5G44150					
AT5G44170					
AT5G44230					
AT5G44280					
AT5G44320					
AT5G44390					
AT5G44400					
AT5G44450					
AT5G44500					
AT5G44572					
AT5G44700					
AT5G44710					
AT5G44720					
AT5G44730					
AT5G44780					
AT5G44785					
AT5G44910					
AT5G44930					
AT5G44980					
AT5G45140					
AT5G45380					
AT5G45420					
AT5G45600					
AT5G45620					
AT5G45775					
AT5G45780					
AT5G46040					
AT5G46050					
AT5G46100					
AT5G46430					
AT5G46550					
AT5G46580					
AT5G46720					
AT5G46740					
AT5G46890					
AT5G46920					
AT5G47210					
AT5G47320					
AT5G47360					
AT5G47455					
AT5G47930					
AT5G47950					
AT5G48030					
AT5G48040					
AT5G48120					
AT5G48130					
AT5G48230					
AT5G48240					
AT5G48470					
AT5G48680					
AT5G48720					
AT5G48760					
AT5G48820					
AT5G48830					
AT5G48930					
AT5G49000					
AT5G49200					
AT5G49210					
AT5G49300					
AT5G49305					
AT5G49560					
AT5G49660					
AT5G49665					
AT5G49820					
AT5G49950					
AT5G50200					
AT5G50310					
AT5G50320					
AT5G50370					
AT5G50410					
AT5G50443					
AT5G50460					
AT5G50630					
AT5G50850					
AT5G50860					
AT5G50870					
AT5G51040					
AT5G51120					
AT5G51220					
AT5G51510					
AT5G51540					
AT5G51590					
AT5G51660					
AT5G51940					
AT5G52380					
AT5G52390					
AT5G52470					
AT5G52520					
AT5G52650					
AT5G52820					
AT5G52980					
AT5G53070					
AT5G53080					
AT5G53110					
AT5G53320					
AT5G53460					
AT5G53540					
AT5G53560					
AT5G53770					
AT5G53800					
AT5G53890					
AT5G53940					
AT5G53990					
AT5G54100					
AT5G54140					
AT5G54160					
AT5G54560					
AT5G54910					
AT5G54920					
AT5G55070					
AT5G55130					
AT5G55140					
AT5G55200					
AT5G55280					
AT5G55350					
AT5G55510					
AT5G55610					
AT5G55840					
AT5G55920					
AT5G56000					
AT5G56090					
AT5G56130					
AT5G56280					
AT5G56350					
AT5G56500					
AT5G56670					
AT5G56680					
AT5G56710					
AT5G56730					
AT5G56890					
AT5G56950					
AT5G57120					
AT5G57180					
AT5G57280					
AT5G57490					
AT5G57570					
AT5G57590					
AT5G57890					
AT5G58005					
AT5G58130					
AT5G58150					
AT5G58160					
AT5G58230					
AT5G58290					
AT5G58350					
AT5G58370					
AT5G58375					
AT5G58420					
AT5G58470					
AT5G58640					
AT5G58760					
AT5G58840					
AT5G58990					
AT5G59210					
AT5G59240					
AT5G59390					
AT5G59560					
AT5G59670					
AT5G59850					
AT5G59950					
AT5G59980					
AT5G60030					
AT5G60040					
AT5G60160					
AT5G60470					
AT5G60590					
AT5G60730					
AT5G60880					
AT5G60960					
AT5G60990					
AT5G61020					
AT5G61030					
AT5G61170					
AT5G61310					
AT5G61330					
AT5G61370					
AT5G61400					
AT5G61490					
AT5G61550					
AT5G61770					
AT5G61790					
AT5G61970					
AT5G62050					
AT5G62260					
AT5G62270					
AT5G62290					
AT5G62300					
AT5G62370					
AT5G62440					
AT5G62600					
AT5G62650					
AT5G62810					
AT5G62980					
AT5G63040					
AT5G63150					
AT5G63220					
AT5G63680					
AT5G63890					
AT5G63930					
AT5G64050					
AT5G64120					
AT5G64140					
AT5G64150					
AT5G64200					
AT5G64320					
AT5G64420					
AT5G64520					
AT5G64610					
AT5G64650					
AT5G64680					
AT5G64830					
AT5G64960					
AT5G65030					
AT5G65080					
AT5G65120					
AT5G65170					
AT5G65180					
AT5G65490					
AT5G65510					
AT5G65620					
AT5G65780					
AT5G65850					
AT5G65860					
AT5G65900					
AT5G66100					
AT5G66140					
AT5G66270					
AT5G66390					
AT5G66540					
AT5G66760					
AT5G66770					
AT5G66820					
AT5G66860					
AT5G66960					
AT5G67110					
AT5G67240					
AT5G67360					
AT5G67430					
AT5G67500					
AT5G67510					
AT5G67530					
AT5G67590					
AT5G67630					
ATCG00160					
ATMG00590					
