C0 (2554 genes)	C1 (1326 genes)	C2 (1037 genes)	C3 (1804 genes)	C4 (1000 genes)	C5 (1621 genes)
AT3G50850			AT5G09805		AT5G50440
AT3G51050			AT5G09880		AT5G50450
AT3G51320			AT5G09990		AT5G50530
AT3G51430			AT5G10040		AT5G50570
AT3G51780			AT5G10150		AT5G50670
AT3G51800			AT5G10320		AT5G50780
AT3G52040			AT5G10430		AT5G50900
AT3G52140			AT5G10450		AT5G51050
AT3G52150			AT5G10770		AT5G51070
AT3G52190			AT5G10860		AT5G51260
AT3G52210			AT5G10890		AT5G51620
AT3G52340			AT5G10930		AT5G51630
AT3G52360			AT5G10946		AT5G51740
AT3G52420			AT5G11150		AT5G51850
AT3G52500			AT5G11330		AT5G51980
AT3G52580			AT5G11580		AT5G52020
AT3G52640			AT5G11720		AT5G52050
AT3G52660			AT5G11790		AT5G52120
AT3G52680			AT5G12200		AT5G52210
AT3G52710			AT5G12210		AT5G52320
AT3G52880			AT5G12230		AT5G52400
AT3G52905			AT5G12235		AT5G52410
AT3G53020			AT5G12940		AT5G52570
AT3G53430			AT5G12960		AT5G52580
AT3G53470			AT5G13010		AT5G52640
AT3G53560			AT5G13565		AT5G52660
AT3G53690			AT5G13570		AT5G52670
AT3G53870			AT5G13590		AT5G52750
AT3G53940			AT5G14210		AT5G52760
AT3G54090			AT5G14240		AT5G52870
AT3G54110			AT5G14390		AT5G53050
AT3G54280			AT5G14690		AT5G53230
AT3G54320			AT5G14780		AT5G53290
AT3G54400			AT5G14890		AT5G53590
AT3G54540			AT5G14895		AT5G54095
AT3G54610			AT5G15170		AT5G54165
AT3G54640			AT5G15290		AT5G54170
AT3G54760			AT5G15600		AT5G54300
AT3G54970			AT5G15830		AT5G54390
AT3G54980			AT5G16110		AT5G54470
AT3G55010			AT5G16340		AT5G54490
AT3G55150			AT5G16350		AT5G54710
AT3G55160			AT5G16400		AT5G54720
AT3G55200			AT5G16480		AT5G55090
AT3G55280			AT5G16550		AT5G55120
AT3G55340			AT5G16880		AT5G55180
AT3G55380			AT5G17290		AT5G55640
AT3G55450			AT5G17400		AT5G55860
AT3G55510			AT5G17450		AT5G56160
AT3G55605			AT5G18000		AT5G56200
AT3G55750			AT5G18010		AT5G56450
AT3G56070			AT5G18020		AT5G56960
AT3G56120			AT5G18030		AT5G56980
AT3G56150			AT5G18050		AT5G57015
AT3G56330			AT5G18060		AT5G57123
AT3G56340			AT5G18080		AT5G57190
AT3G56510			AT5G18090		AT5G57380
AT3G56570			AT5G18100		AT5G57390
AT3G56980			AT5G18110		AT5G57480
AT3G56990			AT5G18140		AT5G57510
AT3G57000			AT5G18210		AT5G57540
AT3G57140			AT5G18350		AT5G57560
AT3G57150			AT5G18525		AT5G57910
AT3G57360			AT5G18560		AT5G58020
AT3G57380			AT5G18630		AT5G58120
AT3G57490			AT5G18640		AT5G58320
AT3G57560			AT5G18650		AT5G58380
AT3G57610			AT5G18670		AT5G58430
AT3G57660			AT5G18930		AT5G58670
AT3G57780			AT5G19010		AT5G58680
AT3G57870			AT5G19040		AT5G58690
AT3G57940			AT5G19140		AT5G58730
AT3G58180			AT5G19150		AT5G58770
AT3G58220			AT5G19360		AT5G59050
AT3G58520			AT5G19530		AT5G59190
AT3G58560			AT5G19860		AT5G59220
AT3G58570			AT5G20250		AT5G59420
AT3G58590			AT5G20280		AT5G59450
AT3G58660			AT5G20350		AT5G59480
AT3G58690			AT5G20380		AT5G59490
AT3G58700			AT5G20510		AT5G59510
AT3G58840			AT5G20520		AT5G59550
AT3G58930			AT5G20560		AT5G59580
AT3G59200			AT5G20620		AT5G59730
AT3G59670			AT5G20710		AT5G59820
AT3G59820			AT5G21020		AT5G60270
AT3G59840			AT5G21100		AT5G60280
AT3G59970			AT5G21170		AT5G60800
AT3G60000			AT5G21950		AT5G60820
AT3G60020			AT5G22000		AT5G61210
AT3G60050			AT5G22030		AT5G61560
AT3G60360			AT5G22080		AT5G61780
AT3G60440			AT5G22150		AT5G61900
AT3G60500			AT5G22460		AT5G61910
AT3G60540			AT5G22700		AT5G61920
AT3G60620			AT5G22830		AT5G62020
AT3G60770			AT5G22860		AT5G62330
AT3G60830			AT5G22920		AT5G62360
AT3G60880			AT5G23040		AT5G62430
AT3G60960			AT5G23110		AT5G62460
AT3G61100			AT5G23210		AT5G62520
AT3G61110			AT5G23220		AT5G62560
AT3G61140			AT5G23380		AT5G62570
AT3G61240			AT5G23430		AT5G62620
AT3G61320			AT5G23450		AT5G62865
AT3G61360			AT5G23460		AT5G63050
AT3G61410			AT5G23660		AT5G63130
AT3G61490			AT5G23670		AT5G63270
AT3G61520			AT5G24170		AT5G63380
AT3G61620			AT5G24490		AT5G63450
AT3G61770			AT5G24500		AT5G63490
AT3G61820			AT5G24520		AT5G63770
AT3G62250			AT5G24670		AT5G63790
AT3G62280			AT5G24820		AT5G63850
AT3G62310			AT5G25130		AT5G64170
AT3G62450			AT5G25140		AT5G64210
AT3G62460			AT5G25240		AT5G64250
AT3G62470			AT5G25265		AT5G64300
AT3G62530			AT5G25460		AT5G64310
AT3G62580			AT5G25520		AT5G64530
AT3G62600			AT5G25560		AT5G64660
AT3G62620			AT5G25570		AT5G64750
AT3G62800			AT5G25630		AT5G64810
AT3G62870			AT5G25810		AT5G65290
AT3G62940			AT5G25950		AT5G65300
